术语,拼音,英文翻译,出处页码,上下文片段,source_row
孔子,kǒngzi,Confucius,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",2
仁者,rénzhě,Person of Benevolence (Ren),1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",3
孟子,mèngzi,Mencius,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",4
性善论,xìngshànlùn,Theory of Innate Goodness,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",5
朱熹,zhūxī,Zhu Xi,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",6
天理,tiānlǐ,Heavenly Principle (Tianli),1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",7
家国,jiāguó,Family-State,1,"它倡导修身齐家治国平天下,将个人修养与家国天下紧密相连，
塑造了中国人达则兼济天下，穷则独善其身的品格",8
道家,dàojiā,Daoism (Taoism),1,"1.2 道家：道法自然的无为境界
道家思想，是中国文化的魂魄",9
魂魄,húnpò,Hun and Po,1,"1.2 道家：道法自然的无为境界
道家思想，是中国文化的魂魄",10
老子,lǎozi,Laozi (Lao Tzu),1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",11
人法地，地法天，天法道，道法自然,"rén fǎ dì, dì fǎ tiān, tiān fǎ dào, dào fǎ zì rán‌‌","Man models himself on earth, earth on heaven, heaven on the Way, and the Way on that which is naturally so.",1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之间",12
庄子,zhuāngzi,Zhuangzi (Chuang Tzu),1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",13
梦蝶,mèngdié,Butterfly Dream,1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",14
天人,tiānrén,Heaven and Man,1,"道家不执着于功利，追求精神的自由与天人的和谐，这份通透与洒脱，给了中国人在乱世中安放
心灵的港湾，也让中国文化始终保有一份灵动与飘逸",15
天人合一,tiānrénhéyī‌‌,Unity of Heaven and Humanity,1,第一章哲学思想：天人合一的东方智慧,16
儒家文化,rújiāwénhuà,Confucian Culture,1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",17
入世,rùshì,Engagement in Worldly Affairs,1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",18
青铜,qīngtóng,Bronze,1,"她不仅是
青铜上的铭文、竹简上的文字，更是刻在民族骨血里的审美与哲思",19
铭文,míngwén,Inscription,1,"她不仅是
青铜上的铭文、竹简上的文字，更是刻在民族骨血里的审美与哲思",20
竹简,zhújiǎn,Bamboo Slips,1,"她不仅是
青铜上的铭文、竹简上的文字，更是刻在民族骨血里的审美与哲思",21
礼智,lǐzhì,Propriety and Wisdom (Li and Zhi),1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",22
仁义,rényì,Benevolence and Righteousness (Ren and Yi),1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",23
天地,tiāndì,Heaven and Earth,1,"这本百科，带你漫步于文化的长
廊，在哲学里见天地，在诗文里见性情，在器物里见匠心，在风俗里见人情",24
儒家,rújiā,Confucianism,1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",25
人情,rénqíng,Human Sentiments,1,"这本百科，带你漫步于文化的长
廊，在哲学里见天地，在诗文里见性情，在器物里见匠心，在风俗里见人情",26
风俗,fēngsú,Customs / Folk Customs,1,"这本百科，带你漫步于文化的长
廊，在哲学里见天地，在诗文里见性情，在器物里见匠心，在风俗里见人情",27
匠心,jiàngxīn,Craftsman's Ingenuity,1,"这本百科，带你漫步于文化的长
廊，在哲学里见天地，在诗文里见性情，在器物里见匠心，在风俗里见人情",28
诗赋,shīfù,Poetry and Rhapsody,2,第二章文学诗赋：笔墨文章里的山河岁月,29
园林,yuánlín,Chinese Garden,2,"这份空灵与简约，深深影响了中国的诗歌
、绘画与园林，让中国艺术始终追求言有尽而意无穷的境界",30
禅机,chánjī,Zen Koan,2,"菩提本无树，明镜亦非台,它不依赖
文字，讲究顿悟，强调在日常中见佛性，在山水间悟禅机",31
笔墨,bǐmò,Brush and Ink,2,第二章文学诗赋：笔墨文章里的山河岁月,32
佛性,fóxìng,Buddha-nature,2,"菩提本无树，明镜亦非台,它不依赖
文字，讲究顿悟，强调在日常中见佛性，在山水间悟禅机",33
菩提本无树,pútíběnwúshù,Bodhi is fundamentally without any tree,2,"菩提本无树，明镜亦非台,它不依赖文字，讲究顿悟，强调在日常中见佛性，在山水间悟禅机",34
明镜亦非台,míngjìngyìfēitái‌‌,The bright mirror is not a stand either,2,"菩提本无树，明镜亦非台,它不依赖文字，讲究顿悟，强调在日常中见佛性，在山水间悟禅机",35
禅意,chányì,Zen Flavor,2,"1.3 禅宗：明心见性的空灵禅意
禅宗从印度而来，却在中国生根发芽，开出了最富东方智慧的花",36
空灵,kōnglíng,Ethereal,2,"1.3 禅宗：明心见性的空灵禅意
禅宗从印度而来，却在中国生根发芽，开出了最富东方智慧的花",37
明心见性,míngxīnjiànxìng,Illuminating the Mind and Seeing One's Nature,2,"1.3 禅宗：明心见性的空灵禅意
禅宗从印度而来，却在中国生根发芽，开出了最富东方智慧的花",38
禅宗,chánzōng,Zen Buddhism (Chan School),2,"1.3 禅宗：明心见性的空灵禅意
禅宗从印度而来，却在中国生根发芽，开出了最富东方智慧的花",39
西厢记,xīxiāngjì,The Romance of the Western Chamber,3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",40
王实甫,wángshífǔ,Wang Shifu,3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",41
关汉卿,guānhànqīng,Guan Hanqing,3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",42
宋词,sòngcí,Song Ci Poetry,3,"宋代文人，将情感注入长短句，苏轼大江东去的豪迈，李清照寻寻觅觅
""的婉约，辛弃疾""醉里挑灯看剑""的豪放，让宋词成为宋代文化最亮眼的招牌",43
元杂剧,yuánzájù,Yuan Zaju (Yuan Dynasty Variety Plays),3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",44
元曲,yuánqǔ,Yuan Qu (Yuan Dynasty Songs),3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",45
辛弃疾,xīnqìjí,Xin Qiji,3,"宋代文人，将情感注入长短句，苏轼大江东去的豪迈，李清照寻寻觅觅
""的婉约，辛弃疾""醉里挑灯看剑""的豪放，让宋词成为宋代文化最亮眼的招牌",46
市井,shìjǐng,Market Place / Street,3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",47
三国演义,sānguóyǎnyì,Romance of the Three Kingdoms,3,"明清两代，小说走向成熟，《三国演义》写尽了天下大势，《水浒传》塑造了一百零八位好汉，
《西游记》充满了奇幻的想象，《红楼梦》更是""字字看来皆是血，十年辛苦不寻常""，成为中国古典小
说的最高峰",48
水浒传,shuǐhǔzhuàn,Water Margin (Outlaws of the Marsh),3,"明清两代，小说走向成熟，《三国演义》写尽了天下大势，《水浒传》塑造了一百零八位好汉，
《西游记》充满了奇幻的想象，《红楼梦》更是""字字看来皆是血，十年辛苦不寻常""，成为中国古典小
说的最高峰",49
西游记,xīyóujì,Journey to the West,3,"明清两代，小说走向成熟，《三国演义》写尽了天下大势，《水浒传》塑造了一百零八位好汉，
《西游记》充满了奇幻的想象，《红楼梦》更是""字字看来皆是血，十年辛苦不寻常""，成为中国古典小
说的最高峰",50
红楼梦,hónglóumèng,Dream of the Red Chamber (A Dream of Red Mansions),3,"明清两代，小说走向成熟，《三国演义》写尽了天下大势，《水浒传》塑造了一百零八位好汉，
《西游记》充满了奇幻的想象，《红楼梦》更是""字字看来皆是血，十年辛苦不寻常""，成为中国古典小
说的最高峰",51
书法,shūfǎ,Calligraphy,3,第三章书法绘画：笔墨丹青的意境之美,52
丹青,dānqīng,Painting / Red and Blue Pigments,3,第三章书法绘画：笔墨丹青的意境之美,53
意境,yìjìng,Artistic Conception (Yi Jing),3,第三章书法绘画：笔墨丹青的意境之美,54
李清照,lǐqīngzhào,Li Qingzhao,3,"宋代文人，将情感注入长短句，苏轼大江东去的豪迈，李清照寻寻觅觅
""的婉约，辛弃疾""醉里挑灯看剑""的豪放，让宋词成为宋代文化最亮眼的招牌",55
苏轼,sūshì,Su Shi,3,"宋代文人，将情感注入长短句，苏轼大江东去的豪迈，李清照寻寻觅觅
""的婉约，辛弃疾""醉里挑灯看剑""的豪放，让宋词成为宋代文化最亮眼的招牌",56
窦娥冤,dòuéyuān,The Injustice to Dou E,3,"2.3 元曲与明清小说
元杂剧唱出了市井百姓的喜怒哀乐，关汉卿《窦娥冤》感天动地，王实甫《西厢记》讲述了爱情的美
好",57
唐诗,tángshī,Tang Poetry,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",58
诸子,zhūzi,Various Masters (Philosophers),3,"2.1 先秦诸子与诗经楚辞
《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《
离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",59
诗经,shījīng,The Book of Songs (Classic of Poetry),3,"2.1 先秦诸子与诗经楚辞
《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《
离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",60
楚辞,chǔcí,Chu Ci (Songs of Chu),3,"2.1 先秦诸子与诗经楚辞
《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《
离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",61
关关雎鸠，在河之洲,"guānguānjūjiū, zàihézhīzhōu","""Guan guan"" cry the ospreys; On the islet in the river.",3,"2.1 先秦诸子与诗经楚辞《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",62
屈原,qūyuán,Qu Yuan,3,"2.1 先秦诸子与诗经楚辞
《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《
离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",63
路漫漫其修远兮,lùmànmànqíxiūyuǎnxī,Long and Far Is the Road Ahead,3,"2.1 先秦诸子与诗经楚辞
《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《
离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",64
离骚,lísāo,Li Sao (On Encountering Sorrow),3,"2.1 先秦诸子与诗经楚辞《诗经》是中国最早的诗歌总集，关关雎鸠，在河之洲,唱出了先民最质朴的情感；屈原放逐，写下《离骚》，路漫漫其修远兮，吾将上下而求索,开创了中国浪漫主义文学的先河",65
白居易,báijūyì,Bai Juyi,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",66
王维,wángwéi,Wang Wei,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",67
杜甫,dùfǔ,Du Fu,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",68
诗中有画,shīzhōngyǒuhuà,Painting in Poetry,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",69
大唐,dàtáng,Great Tang (Tang Dynasty),3,"2.2 唐诗宋词：中国文学的黄金时代
大唐气象，成就了诗歌的巅峰",70
唐诗宋词,tángshīsòngcí,Tang Poetry and Song Ci,3,"2.2 唐诗宋词：中国文学的黄金时代
大唐气象，成就了诗歌的巅峰",71
李白,lǐbái,Li Bai,3,"李白的浪漫潇洒，杜甫的沉郁顿挫，王维的诗中有画，白居易的通俗
易懂，万千气象，都在唐诗里",72
山水画,shānshuǐhuà,Landscape Painting (Shanshui Painting),4,"3.2 山水画：咫尺之内再造乾坤
中国山水画，不是对自然的简单描摹，而是中国人宇宙观的表达",73
乾坤,qiánkūn,Universe (Heaven and Earth),4,"3.2 山水画：咫尺之内再造乾坤
中国山水画，不是对自然的简单描摹，而是中国人宇宙观的表达",74
荆浩,jīnghào,Jing Hao,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",75
董源,dǒngyuán,Dong Yuan,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",76
范宽,fànkuān,Fan Kuan,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",77
黄公望,huánggōngwàng,Huang Gongwang,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",78
溪山行旅图,xīshānxínglǚtú,Travelers among Mountains and Streams,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",79
富春山居图,fùchūnshānjūtú,Dwelling in the Fuchun Mountains,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",80
关仝,guāntóng,Guan Tong,4,"五代荆浩关仝，画出北方山水的雄伟；南唐董源巨然，画出南方山水的温婉；北宋
范宽《溪山行旅图》气势磅礴，元代黄公望《富春山居图》平淡天真，每一幅山水，都是画家心中的
天地",81
汉字,hànzì,Chinese Characters,4,"汉字
在书法家笔下，不再只是记录的符号，更是生命情感的抒发",82
祭侄文稿,jìzhíwéngǎo,Draft of a Requiem for My Nephew,4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",83
甲骨文,jiǎgǔwén,Oracle Bone Script,4,"从甲骨文的古朴，到金文的厚重，再到篆书的均匀，隶书的蚕头燕尾，楷
书的方正，行书的流畅，草书的奔放，每一种书体都有独特的美感",84
金文,jīnwén,Bronze Inscriptions,4,"从甲骨文的古朴，到金文的厚重，再到篆书的均匀，隶书的蚕头燕尾，楷
书的方正，行书的流畅，草书的奔放，每一种书体都有独特的美感",85
篆书,zhuànshū,Seal Script,4,"从甲骨文的古朴，到金文的厚重，再到篆书的均匀，隶书的蚕头燕尾，楷
书的方正，行书的流畅，草书的奔放，每一种书体都有独特的美感",86
黄州寒食帖,huángzhōuhánshítiē,Cold Food Observance in Huangzhou,4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",87
行书,xíngshū,Running Script,4,"从甲骨文的古朴，到金文的厚重，再到篆书的均匀，隶书的蚕头燕尾，楷
书的方正，行书的流畅，草书的奔放，每一种书体都有独特的美感",88
草书,cǎoshū,Cursive Script,4,"从甲骨文的古朴，到金文的厚重，再到篆书的均匀，隶书的蚕头燕尾，楷
书的方正，行书的流畅，草书的奔放，每一种书体都有独特的美感",89
王羲之,wángxīzhī,Wang Xizhi,4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",90
寒食,hánshí,Cold Food Festival,4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",91
颜真卿,yánzhēnqīng,Yan Zhenqing,4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",92
兰亭序,lántíngxù,Preface to the Poems Composed at the Orchid Pavilion (Lantingji Xu),4,"王羲之《兰亭序》飘若浮云，矫
若惊龙；颜真卿《祭侄文稿》笔力苍劲，情真意切；苏轼《黄州寒食帖》跌宕起伏，感慨万端",93
榫卯,sǔnmǎo,Mortise and Tenon,5,"第四章建筑园林：榫卯砖瓦间的天地诗意
4.1 宫殿庙宇：对称之美与等级秩序",94
花鸟画,huāniǎohuà,Flower-and-Bird Painting,5,"3.3 花鸟画：一花一叶总关情
花鸟画，讲究""借物抒情""",95
四君子,sìjūnzǐ,Four Gentlemen,5,"梅兰竹菊被称为""四君子""，象征着高洁、清雅、坚韧的品格；牡丹象征富贵
,荷花象征清廉，松鹤象征长寿",96
梅兰竹菊,méilánzhújú,"Plum, Orchid, Bamboo, and Chrysanthemum",5,"梅兰竹菊被称为""四君子""，象征着高洁、清雅、坚韧的品格；牡丹象征富贵
,荷花象征清廉，松鹤象征长寿",97
松鹤,sōnghè,Pine and Crane,5,"梅兰竹菊被称为""四君子""，象征着高洁、清雅、坚韧的品格；牡丹象征富贵
,荷花象征清廉，松鹤象征长寿",98
桃花源,táohuāyuán,Peach Blossom Spring,6,"4.2 江南园林：小空间里的大诗意
江南园林，是中国人的桃花源",99
匾额,biǎné,Plaque (Horizontal Inscribed Board),6,"""虽由人作，宛自天开""，园林设计者将山水、建筑、花木、匾额楹联巧
妙组合，在有限的空间里，创造出无限的意境",100
楹联,yínglián,Couplet (Pillar Couplet),6,"""虽由人作，宛自天开""，园林设计者将山水、建筑、花木、匾额楹联巧
妙组合，在有限的空间里，创造出无限的意境",101
移景,yíjǐng,Borrowed Scenery,6,"苏州拙政园，山水相间，步移景您；留园以建筑精巧
著称，大小空间错落有致，每一处都藏着设计者的巧思，让人在城市中也能享受到山林之乐",102
留园,liúyuán,Lingering Garden,6,"苏州拙政园，山水相间，步移景您；留园以建筑精巧
著称，大小空间错落有致，每一处都藏着设计者的巧思，让人在城市中也能享受到山林之乐",103
民居,mínjū,Folk Residence,6,4.3 民居建筑：十里不同风，百里不同俗,104
拙政园,zhuōzhèngyuán,Humble Administrator's Garden,6,"苏州拙政园，山水相间，步移景您；留园以建筑精巧
著称，大小空间错落有致，每一处都藏着设计者的巧思，让人在城市中也能享受到山林之乐",105
江南,jiāngnán,Jiangnan (Regions South of the Yangtze River),6,"4.2 江南园林：小空间里的大诗意
江南园林，是中国人的桃花源",106
北京故宫,běijīnggùgōng,Palace Museum (Forbidden City),6,"北京故宫，南北中轴线贯穿全城，红墙黄瓦，金碧辉煌，
体现了皇家的威严与等级",107
中轴线,zhōngzhóuxiàn,Central Axis,6,"北京故宫，南北中轴线贯穿全城，红墙黄瓦，金碧辉煌，
体现了皇家的威严与等级",108
木构,mùgòu,Timber Structure (Wooden Structure),6,木构建筑不用一颗钉子，全靠榫卯咬合，历经千年风雨而不倒，尽显中国工匠的智慧,109
大雄宝殿,dàxióngbǎodiàn,Mahavira Hall (Main Hall),6,"寺庙建筑，同样讲究秩序，从山门到大雄宝殿，层层递进，营造出庄严神
圣的氛围",110
造纸术,zàozhǐshù,Papermaking,7,"第五章科技工艺：巧夺天工的造物智慧
5.1 四大发明：改变世界的中国创造
造纸术让知识得以广泛传播，印刷术推动了文艺复兴，指南针促进了大航海时代的到来，火药改变了
战争的形态",111
四大发明,sìdàfāmíng,Four Great Inventions,7,"第五章科技工艺：巧夺天工的造物智慧
5.1 四大发明：改变世界的中国创造
造纸术让知识得以广泛传播，印刷术推动了文艺复兴，指南针促进了大航海时代的到来，火药改变了
战争的形态",112
指南针,zhǐnánzhēn,Compass,7,"第五章科技工艺：巧夺天工的造物智慧
5.1 四大发明：改变世界的中国创造
造纸术让知识得以广泛传播，印刷术推动了文艺复兴，指南针促进了大航海时代的到来，火药改变了
战争的形态",113
火药,huǒyào,Gunpowder,7,"第五章科技工艺：巧夺天工的造物智慧
5.1 四大发明：改变世界的中国创造
造纸术让知识得以广泛传播，印刷术推动了文艺复兴，指南针促进了大航海时代的到来，火药改变了
战争的形态",114
