术语,拼音,英文翻译,出处页码,上下文片段,source_row
印刷术,yìnshuāshù,Printing,7,"第五章科技工艺：巧夺天工的造物智慧
5.1 四大发明：改变世界的中国创造
造纸术让知识得以广泛传播，印刷术推动了文艺复兴，指南针促进了大航海时代的到来，火药改变了
战争的形态",115
马头墙,mǎtóuqiáng,Horse-head Wall,7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",116
土楼,tǔlóu,Earthen Building (Tulou),7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",117
四合院,sìhéyuàn,Siheyuan (Quadrangle Courtyard),7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",118
窑洞,yáodòng,Cave Dwelling (Yaodong),7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",119
徽派,huīpài,Hui-style,7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",120
水墨画,shuǐmòhuà,Ink Wash Painting,7,"北京四合院，院落方正，体现了中国人的家庭观念；陕北窑洞，
依山而建，冬暖夏凉,是黄土高原上的独特风景；皖南徽派民居，白墙黑瓦，马头墙高低错落，宛如
一幅水墨画卷；福建土楼，圆形的堡垒，聚族而居，体现了家族的凝聚力",121
缫丝,sāosī,Silk Reeling,8,"5.3 丝绸：一寸丝绸一寸金
早在四五千年前，中国人就学会了养蚕缫丝",122
宋锦,sòngjǐn,Song Brocade,8,"蜀锦、宋锦、云锦，不同地域的丝绸各有特色，云锦织造精细，花纹瑰丽，被称
为""寸锦寸金""",123
云锦,yúnjǐn,Cloud Brocade (Yun Brocade),8,"蜀锦、宋锦、云锦，不同地域的丝绸各有特色，云锦织造精细，花纹瑰丽，被称
为""寸锦寸金""",124
蜀锦,shǔjǐn,Shu Brocade,8,"蜀锦、宋锦、云锦，不同地域的丝绸各有特色，云锦织造精细，花纹瑰丽，被称
为""寸锦寸金""",125
青瓷,qīngcí,Celadon,8,"5.2 陶瓷：泥土与火的艺术
中国是瓷器的故乡，从商代原始青瓷，到唐代唐三彩，宋代五大名窑，明清青花瓷、粉彩瓷，中国人
将泥土炼成了温润的瓷器",126
青花瓷,qīnghuācí,Blue-and-white Porcelain,8,"5.2 陶瓷：泥土与火的艺术
中国是瓷器的故乡，从商代原始青瓷，到唐代唐三彩，宋代五大名窑，明清青花瓷、粉彩瓷，中国人
将泥土炼成了温润的瓷器",127
粉彩瓷,fěncǎicí‌‌‌,Famille Rose Porcelain,8,5.2 陶瓷：泥土与火的艺术中国是瓷器的故乡，从商代原始青瓷，到唐代唐三彩，宋代五大名窑，明清青花瓷、粉彩瓷，中国人将泥土炼成了温润的瓷器,128
景德镇,jǐngdézhèn,Jingdezhen,8,"景德镇的瓷器，""白如玉，明如镜，薄如纸，声如磬""，远销海外，中国也因
此被称为""瓷器之国""",129
唐三彩,tángsāncǎi,Tri-colored Glazed Pottery (Tang Sancai),8,"5.2 陶瓷：泥土与火的艺术
中国是瓷器的故乡，从商代原始青瓷，到唐代唐三彩，宋代五大名窑，明清青花瓷、粉彩瓷，中国人
将泥土炼成了温润的瓷器",130
忠义,zhōngyì,Loyalty and Righteousness,9,"脸谱是京剧的特色，红脸代表忠义，白脸代表奸诈，黑
脸代表正直，五颜六色的脸谱，画尽了世间的人情冷暖",131
白脸,báiliǎn,White Face,9,"脸谱是京剧的特色，红脸代表忠义，白脸代表奸诈，黑
脸代表正直，五颜六色的脸谱，画尽了世间的人情冷暖",132
黄梅戏,huángméixì,Huangmei Opera,9,"豫剧高亢明亮，越剧婉转柔美，黄梅戏清新质朴
,秦腔粗犷豪放，川剧变脸更是神奇莫测",133
秦腔,qínqiāng,Qinqiang Opera,9,"豫剧高亢明亮，越剧婉转柔美，黄梅戏清新质朴
,秦腔粗犷豪放，川剧变脸更是神奇莫测",134
川剧,chuānjù,Sichuan Opera,9,"豫剧高亢明亮，越剧婉转柔美，黄梅戏清新质朴
,秦腔粗犷豪放，川剧变脸更是神奇莫测",135
豫剧,yùjù,Yu Opera (Henan Opera),9,"豫剧高亢明亮，越剧婉转柔美，黄梅戏清新质朴
,秦腔粗犷豪放，川剧变脸更是神奇莫测",136
红脸,hóngliǎn,Red Face,9,"脸谱是京剧的特色，红脸代表忠义，白脸代表奸诈，黑
脸代表正直，五颜六色的脸谱，画尽了世间的人情冷暖",137
京剧,jīngjù,Peking Opera (Jingju),9,"第六章戏曲曲艺：粉墨登场的世间百态
6.1 京剧：国剧风华
京剧，被称为中国的国剧",138
梅兰芳,méilánfāng,Mei Lanfang,9,"梅兰芳的雍容华美
,程砚秋的幽咽婉转，梅尚程荀，各有千秋",139
程砚秋,chéngyànqiū,Cheng Yanqiu,9,"梅兰芳的雍容华美
,程砚秋的幽咽婉转，梅尚程荀，各有千秋",140
脸谱,liǎnpǔ,Facial Makeup,9,"脸谱是京剧的特色，红脸代表忠义，白脸代表奸诈，黑
脸代表正直，五颜六色的脸谱，画尽了世间的人情冷暖",141
评书,píngshū,Storytelling (Pingshu),10,"6.3 评书相声：市井里的欢声笑语
评书演员一把扇子、一块醒木，就能讲尽千古兴衰；相声演员你一言我一语，抖出一个又一个包袱，
逗得观众哈哈大笑",142
刺绣,cìxiù,Embroidery,11,"7.3 民间工艺：手上的温度
剪纸艺人一把剪刀，就能剪出龙凤呈祥、花鸟鱼虫；皮影艺人一双手，就能在白布上演绎出千古故事
；风筝艺人扎出的风筝，飞上蓝天，带着中国人的梦想；刺绣艺人一针一线，绣出花鸟山水，栩栩如
生",143
风筝,fēngzhēng,Kite,11,"7.3 民间工艺：手上的温度
剪纸艺人一把剪刀，就能剪出龙凤呈祥、花鸟鱼虫；皮影艺人一双手，就能在白布上演绎出千古故事
；风筝艺人扎出的风筝，飞上蓝天，带着中国人的梦想；刺绣艺人一针一线，绣出花鸟山水，栩栩如
生",144
剪纸,jiǎnzhǐ,Paper-cutting,11,"7.3 民间工艺：手上的温度
剪纸艺人一把剪刀，就能剪出龙凤呈祥、花鸟鱼虫；皮影艺人一双手，就能在白布上演绎出千古故事
；风筝艺人扎出的风筝，飞上蓝天，带着中国人的梦想；刺绣艺人一针一线，绣出花鸟山水，栩栩如
生",145
皮影,píyǐng,Shadow Puppetry,11,"7.3 民间工艺：手上的温度
剪纸艺人一把剪刀，就能剪出龙凤呈祥、花鸟鱼虫；皮影艺人一双手，就能在白布上演绎出千古故事
；风筝艺人扎出的风筝，飞上蓝天，带着中国人的梦想；刺绣艺人一针一线，绣出花鸟山水，栩栩如
生",146
粤菜,yuècài,Cantonese Cuisine (Yue Cuisine),11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",147
八大菜系,bādàcàixì,Eight Major Cuisines,11,"第八章饮食文化：舌尖上的东方韵味
8.1 八大菜系：一方水土养一方味
中国饮食，讲究色香味俱全，不同地域，囗味不同",148
徽菜,huīcài,Anhui Cuisine (Hui Cuisine),11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",149
湘菜,xiāngcài,Hunan Cuisine (Xiang Cuisine),11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",150
苏菜,sūcài,Jiangsu Cuisine (Su Cuisine),11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",151
本味,běnwèi,Original Flavor,11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",152
韵味,yùnwèi,Lingering Charm,11,"第八章饮食文化：舌尖上的东方韵味
8.1 八大菜系：一方水土养一方味
中国饮食，讲究色香味俱全，不同地域，囗味不同",153
川菜,chuāncài,Sichuan Cuisine,11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",154
火候,huǒhòu,Heat Control,11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",155
奶汤,nǎitāng,Milky Soup,11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",156
清汤,qīngtāng,Clear Soup,11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",157
鲁菜,lǔcài,Shandong Cuisine (Lu Cuisine),11,"鲁菜讲究清汤奶汤，火候精到；川菜麻辣鲜香，
一菜一格；粤菜清淡鲜美，保留本味；苏菜精细雅致，甜咸适中；浙菜鲜嫩清脆，清爽不腻；闽菜色
调淡雅，注重鲜醇；湘菜香辣浓郁，回味悠长；徽菜讲究火候，注重食补",158
色香味,sèxiāngwèi,"Color, Aroma, and Taste",11,"第八章饮食文化：舌尖上的东方韵味
8.1 八大菜系：一方水土养一方味
中国饮食，讲究色香味俱全，不同地域，囗味不同",159
龙凤呈祥,lóngfèngchéngxiáng,Dragon and Phoenix Bringing Prosperity,11,"7.3 民间工艺：手上的温度
剪纸艺人一把剪刀，就能剪出龙凤呈祥、花鸟鱼虫；皮影艺人一双手，就能在白布上演绎出千古故事
；风筝艺人扎出的风筝，飞上蓝天，带着中国人的梦想；刺绣艺人一针一线，绣出花鸟山水，栩栩如
生",160
龙舟,lóngzhōu,Dragon Boat,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",161
粽子,zòngzi,Zongzi (Rice Dumpling),11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",162
扫墓,sǎomù,Tomb Sweeping,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",163
花灯,huādēng,Flower Lantern,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",164
放鞭炮,fàngbiānpào,Setting Off Firecrackers,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",165
春联,chūnlián,Spring Festival Couplets,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",166
牛郎织女,niúlángzhīnǚ,Cowherd and Weaver Girl,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",167
灯谜,dēngmí,Lantern Riddle,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",168
月饼,yuèbǐng,Mooncake,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",169
六礼,liùlǐ,Six Rites,11,"传统婚
礼，红轿花轿，凤冠霞坡，三书六礼，处处都体现了中国人对婚姻的重视与祝福，这些礼仪，不仅是
仪式，更是对生命的尊重与礼赞",170
赏月,shǎngyuè,Moon Viewing,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",171
凤冠,fèngguān,Phoenix Coronet,11,"传统婚
礼，红轿花轿，凤冠霞坡，三书六礼，处处都体现了中国人对婚姻的重视与祝福，这些礼仪，不仅是
仪式，更是对生命的尊重与礼赞",172
花轿,huājiào,Bridal Sedan Chair,11,"传统婚
礼，红轿花轿，凤冠霞坡，三书六礼，处处都体现了中国人对婚姻的重视与祝福，这些礼仪，不仅是
仪式，更是对生命的尊重与礼赞",173
孝亲,xiàoqīn,Filial Piety to Parents,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",174
敬老,jìnglǎo,Respecting the Elderly,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",175
赏菊,shǎngjú,Appreciating Chrysanthemums,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",176
重阳节,chóngyángjié,Double Ninth Festival (Chongyang Festival),11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",177
团圆,tuányuán,Reunion,11,"第七章民俗风情：烟火人间的文化基因
7.1 传统节日：四时有序，岁月有情
春节贴春联放鞭炮，阖家团圆；元宵节赏花灯猜灯谜；清明节踏青扫墓，缅怀先人；端午节吃粽子赛
龙舟，纪念屈原；七夕节牛郎织女鹊桥相会；中秋节赏月吃月饼，团圆美满；重阳节登高赏菊，敬老
孝亲",178
成人礼,chéngrénlǐ,Coming-of-age Ceremony,11,"7.2 婚丧嫁娶：人生礼仪的文化传承
从出生满月，到成人礼，再到婚礼、葬礼，中国人的人生每一个重要阶段，都有相应的礼仪",179
衣冠,yīguān,Attire,12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",180
章服,zhāngfú,Ceremonial Dress,12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",181
礼乐,lǐyuè,Rites and Music (Liyue),12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",182
汉服,hànfú,Hanfu (Han Chinese Clothing),12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",183
黄帝,huángdì,Yellow Emperor,12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",184
交领,jiāolǐng,Crossed Collar,12,"汉服讲究""交领右社，褒衣广袖""",185
汉族,hànzú,Han Ethnic Group,12,"第九章服饰衣冠：章服之美的礼仪传承
9.1 汉服：衣裳上的礼乐制度
汉服，是汉族的传统服饰，从黄帝""垂衣裳而天下治""开始，传承了四千多年",186
柴米油盐酱醋茶,cháimǐyóuyánjiàngcùchá,"Firewood, Rice, Oil, Salt, Soy Sauce, Vinegar, and Tea",12,"8.2 茶酒文化：杯中乾坤大
中国是茶的故乡，开门七件事，柴米油盐酱醋茶",187
绿茶,lǜchá,Green Tea,12,"绿茶清新，红茶醇厚，乌龙茶香气浓郁，黑茶陈香
悠长",188
乌龙茶,wūlóngchá,Oolong Tea,12,"绿茶清新，红茶醇厚，乌龙茶香气浓郁，黑茶陈香
悠长",189
红茶,hóngchá,Black Tea,12,"绿茶清新，红茶醇厚，乌龙茶香气浓郁，黑茶陈香
悠长",190
品茶,pǐnchá,Tea Tasting,12,品茶，品的不仅是味道，更是心境,191
座次,zuòcì,Seating Order,12,座次安排，长幼有序，长辈先动筷，晚辈才能吃,192
普陀山,pǔtuóshān,Mount Putuo,13,"四大佛教名山，五台
山、普陀山、峨眉山、九华山，每一座都是佛教圣地，也都是风景优美的旅游胜地",193
风水,fēngshuǐ,Feng Shui,13,"它讲究阴阳五行，八卦风水，对中国
的医学、化学、艺术都产生了深远影响",194
峨眉山,éméishān,Mount Emei,13,"四大佛教名山，五台
山、普陀山、峨眉山、九华山，每一座都是佛教圣地，也都是风景优美的旅游胜地",195
佛教,fójiào,Buddhism,13,"10.2 佛教：来自印度的中国化发展
佛教在汉代传入中国，经过千年的发展，已经完全中国化，成为中国文化的一部分",196
九华山,jiǔhuàshān,Mount Jiuhua,13,"四大佛教名山，五台
山、普陀山、峨眉山、九华山，每一座都是佛教圣地，也都是风景优美的旅游胜地",197
伊斯兰教,yīsīlánjiào,Islam,13,"10.3 伊斯兰教与基督教：外来宗教的中国生根
伊斯兰教在唐代传入中国，经过千年的发展，成为中国少数民族普遍信仰的宗教，中国的伊斯兰文化
,也带着鲜明的中国特色",198
基督教,jīdūjiào,Christianity,13,"10.3 伊斯兰教与基督教：外来宗教的中国生根
伊斯兰教在唐代传入中国，经过千年的发展，成为中国少数民族普遍信仰的宗教，中国的伊斯兰文化
,也带着鲜明的中国特色",199
八卦,bāguà,Bagua (Eight Trigrams),13,"它讲究阴阳五行，八卦风水，对中国
的医学、化学、艺术都产生了深远影响",200
阴阳五行,yīnyángwǔxíng,Yin-Yang and Five Elements,13,"它讲究阴阳五行，八卦风水，对中国
的医学、化学、艺术都产生了深远影响",201
帝制,dìzhì,Imperial System,13,"衣广袖""，不同的身份，不同的场合，穿着不同的服饰，它不仅是遮身蔽体的衣物，更是礼仪制度的体
现，""黄帝制衣裳，而天下治""，衣冠制度，从来都和国家治理联系在一起",202
苏绣,sūxiù,Suzhou Embroidery,13,"苏绣精细雅致，湘绣浑厚大气，粤绣
色彩艳丽，蜀针法严谨，四大名绣各有特色",203
湘绣,xiāngxiù,Hunan Embroidery,13,"苏绣精细雅致，湘绣浑厚大气，粤绣
色彩艳丽，蜀针法严谨，四大名绣各有特色",204
粤绣,yuèxiù,Guangdong Embroidery (Yue Embroidery),13,"苏绣精细雅致，湘绣浑厚大气，粤绣
色彩艳丽，蜀针法严谨，四大名绣各有特色",205
神仙,shénxiān,Immortal / Deity,13,"第十章宗教文化：殊途同归的精神追寻
10.1 道教：中国本土的宗教
道教，根植于中国本土，崇拜神仙，追求长生不老，得道成仙",206
蒙古族,měnggǔzú,Mongolian Ethnic Group,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",207
藏族,zàngzú,Tibetan Ethnic Group,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",208
藏袍,cángpáo,Tibetan Robe,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",209
苗族,miáozú,Miao Ethnic Group,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",210
银饰,yínshì,Silver Ornament,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",211
花帽,huāmào,Flowered Cap,13,"蒙古族的长袍，藏族的藏袍，苗族的银饰，维吾
尔族的小花帽，每个民族的服饰，都带着自己民族的文化特色，共同组成了中国服饰文化多彩的画卷",212
道教,dàojiào,Taoism (Daoism),13,"第十章宗教文化：殊途同归的精神追寻
10.1 道教：中国本土的宗教
道教，根植于中国本土，崇拜神仙，追求长生不老，得道成仙",213
