术语,英文翻译,类别,上下文片段,儿童表达,来源,来源链接,检索日期
春节,Spring Festival,传统节日,中国人庆祝传统新年的社会实践。,families welcome the new year together,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/spring-festival-social-practices-of-the-chinese-people-in-celebration-of-traditional-new-year-02126,2026-07-18
中国剪纸,Chinese paper-cut,传统美术,以剪、刻等技法制作的民间纸艺。,pictures cut from paper,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-paper-cut-00219,2026-07-18
中国书法,Chinese calligraphy,传统美术,以汉字书写体现线条、节奏与审美的艺术。,the art of writing Chinese characters,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,2026-07-18
中国篆刻,art of Chinese seal engraving,传统美术,在印材上刻制文字与图形的艺术。,carving characters on a seal,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,2026-07-18
中国木版水印技艺,China engraved block printing technique,传统技艺,以雕版、刷墨和印刷完成文字图像复制的技艺。,printing pictures with carved wooden blocks,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/china-engraved-block-printing-technique-00229,2026-07-18
端午节,Dragon Boat festival,传统节日,包含赛龙舟、包粽子等习俗的传统节日。,a festival of dragon boats and rice dumplings,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/dragon-boat-festival-00225,2026-07-18
妈祖信俗,Mazu belief and customs,民俗信仰,围绕妈祖形成的信仰、仪式与社区习俗。,traditions that honour Mazu,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mazu-belief-and-customs-00227,2026-07-18
京剧,Peking opera,传统戏剧,融合唱、念、做、打的中国戏曲艺术。,a colourful Chinese opera with singing and movement,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/peking-opera-00418,2026-07-18
昆曲,Kun Qu opera,传统戏剧,以细腻唱腔和典雅表演著称的传统戏曲。,an old opera with graceful songs,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/kun-qu-opera-00004,2026-07-18
越剧,Yueju opera,传统戏剧,流行于中国江南地区的传统戏曲。,an opera known for gentle songs and stories,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/china-CN?cp=CN&info=elements-on-the-lists,2026-07-18
藏戏,Tibetan opera,传统戏剧,融合歌舞、说唱和面具表演的传统艺术。,"Tibetan stories told with songs, dances and masks",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/tibetan-opera-00208,2026-07-18
皮影戏,Chinese shadow puppetry,传统戏剧,以皮革或纸制影偶在幕布后表演故事。,stories told by colourful shadow puppets,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-shadow-puppetry-00421,2026-07-18
古琴艺术,Guqin and its music,传统音乐,以古琴演奏、记谱和文人传统为核心的音乐文化。,the quiet music of the ancient guqin,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/guqin-and-its-music-00061,2026-07-18
南音,Nanyin,传统音乐,流传于福建南部的古老音乐传统。,gentle music from southern Fujian,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/nanyin-00199,2026-07-18
花儿,Hua'er,传统音乐,流传于中国西北多民族地区的山歌传统。,mountain songs sung in north-west China,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/hua-er-00211,2026-07-18
蒙古族呼麦,"Mongolian art of singing, Khoomei",传统音乐,歌者同时发出基音与泛音的演唱技法。,singing two sounds at the same time,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mongolian-art-of-singing-khoomei-00210,2026-07-18
新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,传统音乐,融合歌曲、舞蹈、器乐和口头文学的综合艺术。,"songs, dances and music from Xinjiang",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/uyghur-muqam-of-xinjiang-00109,2026-07-18
格萨尔史诗传统,Gesar epic tradition,口头传统,以说唱方式传承英雄格萨尔故事的史诗传统。,a great hero story told in song,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gesar-epic-tradition-00204,2026-07-18
玛纳斯史诗,Manas,口头传统,柯尔克孜族世代传唱的英雄史诗。,a long heroic story passed down by singers,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/manas-00209,2026-07-18
赫哲族伊玛堪说唱,Hezhen Yimakan storytelling,口头传统,赫哲族以说唱形式传承历史、英雄和生活知识。,Hezhen stories told through speech and song,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/hezhen-yimakan-storytelling-00530,2026-07-18
中国传统木结构建筑营造技艺,Chinese traditional architectural craftsmanship for timber-framed structures,传统技艺,以木构件榫卯组合建造建筑的传统知识与技艺。,building wooden structures that fit together without nails,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-traditional-architectural-craftsmanship-for-timber-framed-structures-00223,2026-07-18
中国木拱桥传统营造技艺,traditional design and practices for building Chinese wooden arch bridges,传统技艺,以木材和传统结构建造拱桥的知识与实践。,building strong arched bridges from wood,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/traditional-design-and-practices-for-building-chinese-wooden-arch-bridges-00303,2026-07-18
南京云锦木机妆花手工织造技艺,craftsmanship of Nanjing Yunjin brocade,传统技艺,使用复杂木机和珍贵材料织造云锦的传统技艺。,weaving bright brocade on a large wooden loom,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/craftsmanship-of-nanjing-yunjin-brocade-00200,2026-07-18
龙泉青瓷传统烧制技艺,traditional firing technology of Longquan celadon,传统技艺,以原料处理、施釉和窑烧制作青瓷的传统技艺。,firing jade-green celadon in a kiln,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/traditional-firing-technology-of-longquan-celadon-00205,2026-07-18
宣纸传统制作技艺,traditional handicrafts of making Xuan paper,传统技艺,以青檀皮和稻草等原料制作宣纸的传统工艺。,"making soft, strong paper for painting and calligraphy",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/traditional-handicrafts-of-making-xuan-paper-00201,2026-07-18
蚕桑丝织技艺,sericulture and silk craftsmanship of China,传统技艺,涵盖栽桑、养蚕、缫丝、染织等环节的传统技艺。,raising silkworms and weaving silk,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/sericulture-and-silk-craftsmanship-of-china-00197,2026-07-18
黎族传统纺染织绣技艺,"traditional Li textile techniques: spinning, dyeing, weaving and embroidering",传统技艺,黎族妇女传承的纺纱、染色、织布和刺绣技艺。,"Li women spin, dye, weave and embroider cloth",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/traditional-li-textile-techniques-spinning-dyeing-weaving-and-embroidering-00302,2026-07-18
热贡艺术,Regong arts,传统美术,包括唐卡、壁画、堆绣和雕塑等艺术形式。,"colourful paintings, embroidery and sculptures from Regong",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/regong-arts-00207,2026-07-18
二十四节气,Twenty-Four Solar Terms,传统知识,中国人通过观察太阳周年运动形成的时间知识体系。,twenty-four seasonal signs that guide farming and daily life,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/the-twenty-four-solar-terms-knowledge-in-china-of-time-and-practices-developed-through-observation-of-the-sun-s-annual-motion-00647,2026-07-18
珠算,Chinese Zhusuan,传统知识,使用算盘进行数学计算的知识与实践。,doing maths with an abacus,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-zhusuan-knowledge-and-practices-of-mathematical-calculation-through-the-abacus-00853,2026-07-18
中医针灸,acupuncture and moxibustion of traditional Chinese medicine,传统知识,以经络腧穴理论为指导的针刺与艾灸实践。,traditional ways of caring for the body with needles and warm moxa,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/acupuncture-and-moxibustion-of-traditional-chinese-medicine-00425,2026-07-18
藏医药浴法,Lum medicinal bathing of Sowa Rigpa,传统知识,藏医通过药浴调理身心的传统知识与实践。,a traditional Tibetan medicinal bath,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/lum-medicinal-bathing-of-sowa-rigpa-knowledge-and-practices-concerning-life-health-and-illness-prevention-and-treatment-among-the-tibetan-people-in-china-01386,2026-07-18
太极拳,Taijiquan,传统体育,以圆活连贯动作和身心协调为特点的传统实践。,"slow, flowing movements that train body and mind",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/taijiquan-00424,2026-07-18
羌年,Qiang New Year festival,传统节日,羌族感恩自然、团聚并传承文化的节庆。,the Qiang people gather to give thanks and celebrate,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/qiang-new-year-festival-00305,2026-07-18
朝鲜族农乐舞,farmers' dance of China's Korean ethnic group,传统舞蹈,融合音乐、舞蹈和农耕生活的群体表演。,a lively farmers' dance with music and drums,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/farmers-dance-of-china-s-korean-ethnic-group-00213,2026-07-18
西安鼓乐,Xi'an wind and percussion ensemble,传统音乐,以管乐和打击乐合奏为主的古老音乐传统。,old music played with wind instruments and drums,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/xi-an-wind-and-percussion-ensemble-00212,2026-07-18
中国雕版印刷,Chinese engraved block printing,传统技艺,在木板上反刻文字图像后刷印的传统工艺。,printing pages from carved wooden blocks,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/china-engraved-block-printing-technique-00229,2026-07-18
春节对联,Spring Festival couplets,节庆习俗,春节期间张贴在门框两侧的吉祥对句。,lucky red couplets hung by the door,The State Council of the People's Republic of China,https://english.www.gov.cn/news/202412/05/content_WS6751b0b5c6d0868f4e8edb19.html,2026-07-18
舞龙,dragon dance,节庆习俗,多人共同操控龙形道具完成的节庆表演。,a team brings a long dragon to life,The State Council of the People's Republic of China,https://english.www.gov.cn/news/202412/05/content_WS6751b0b5c6d0868f4e8edb19.html,2026-07-18
舞狮,lion dance,节庆习俗,表演者在狮形装束中配合锣鼓完成的舞蹈。,performers make a bright lion leap and dance,The State Council of the People's Republic of China,https://english.www.gov.cn/news/202412/05/content_WS6751b0b5c6d0868f4e8edb19.html,2026-07-18
